,transliteration,sorting,period,base,logogram,morpheme_1,morpheme_2,morpheme_3,sense_hk,certainty-weight_hk,sense_hk_qid,certainty-weight_MEGA,sense_MEGA_qid,POS,number,person,category,transliteration original,unicode,roman,count,is_match
11889,im ya,imya,oE,,,,,,,,,,,PN,,,PN,im-ya,𒅎 𒉿,False,0,False
11890,in da bi,indabi,oE,,,,,,,,,,,PN,,,PN,in-da-bi,𒅔 𒁕 𒁉,False,0,False
11891,in da da,indada,nE,,,,,,,,,,,PN,,,PN,in-da-da,𒅔 𒁕 𒁕,False,0,False
11892,in da lu tu uk,indalutuuk,oE,,,,,,,,,,,PN,,,PN,in-da-lu-tu-uk,𒅔 𒁕 𒇻 𒌅 𒊌,False,0,False
11893,in da zu,indazu,oE,,,,,,,,,,,PN,,,PN,in-da-zu,𒅔 𒁕 𒍪,False,0,False
11894,in da lu lu um,indaluluum,oE,,,,,,,,,,,PN,,,PN,in-da.lu-lu-um,𒅔 𒁕 𒇻 𒇻 𒌝,False,0,False
11895,in di un tar,indiuntar,oE,,,,,,,,,,,PN,,,PN,in-di-un-tar,𒅔 𒁲 𒌦 𒋻,False,0,False
11896,in ga,inga,oE,,,,,,,,,,,PN,,,PN,in-ga,𒅔 𒂵,False,0,False
11897,in gi lu lu,ingilulu,oE,,,,,,,,,,,PN,,,PN,in-gi.lu-lu,𒅔 𒄀 𒇻 𒇻,False,0,False
11898,in hu hu,inhuhu,oE,,,,,,,,,,,PN,,,PN,in-hu-hu,𒅔 𒄷 𒄷,False,0,False
11899,in ne ir ri,inneirri,oB,,,,,,,,,,,PN,,,PN,in-ne-ir-ri,𒅔 𒉈 𒅕 𒊑,False,0,False
11900,in ne ri,inneri,oB,,,,,,,,,,,PN,,,PN,in-ne-ri,𒅔 𒉈 𒊑,False,0,False
11901,in ni ir ri,inniirri,oB,,,,,,,,,,,PN,,,PN,in-ni-ir-ri,𒅔 𒉌 𒅕 𒊑,False,0,False
11902,in ni ku ku,innikuku,nE,,,,,,,,,,,PN,,,PN,in-ni.ku-ku,𒅔 𒉌 𒆪 𒆪,False,0,False
11904,in ri ir ha ap ru h,inriirhaapruh,oE,,,,,,,,,,,PN,,,PN,in-ri-ir.ha-ap-ru-h,𒅔 𒊑 𒅕 𒄩 𒀊 𒊒 𒀸,False,0,False
11905,in ri ri,inriri,oE,,,,,,,,,,,PN,,,PN,in-ri-ri,𒅔 𒊑 𒊑,False,0,False
11906,in tar ri,intarri,oE,,,,,,,,,,,PN,,,PN,in-tar-ri,𒅔 𒋻 𒊑,False,0,False
11907,in ti a,intia,oE,,,,,,,,,,,PN,,,PN,in-ti-a,𒅔 𒋾 𒀀,False,0,False
11908,in za ki,inzaki,oE,,,,,,,,,,,PN,,,PN,in-za-ki,𒅔 𒍝 𒆠,False,0,False
11909,in zi zi,inzizi,oE,,,,,,,,,,,PN,,,PN,in-zi-zi,𒅔 𒍣 𒍣,False,0,False
11910,in zu,inzu,oE,,,,,,,,,,,PN,,,PN,in-zu,𒅔 𒍪,False,0,False
11911,in zu a,inzua,oE,,,,,,,,,,,PN,,,PN,in-zu-a,𒅔 𒍪 𒀀,False,0,False
11912,in zu um me en na,inzuummeenna,oE,,,,,,,,,,,PN,,,PN,in-zu-um-me-en-na,𒅔 𒍪 𒌝 𒈨 𒂗 𒈾,False,0,False
11913,in zu úr ha ap ru h,inzuurhaapruh,oE,,,,,,,,,,,PN,,,PN,in-zu-úr.ha-ap-ru-[h],𒅔 𒍪 𒌫 𒄩 𒀊 𒊒 𒀸,False,0,False
